LH No.,Subject:,Date,Tags,Description
75-0936,Cohocton River,1921,cohocton river; bare trees; winter landscape; north bank; black and white photograph,"A 1921 photograph dated March 26 showing the north bank of the Cohocton River with bare deciduous trees along the shoreline, a distant bridge spanning the water, and rolling hills in the background during early spring."
75-0942,Floods,1935,,
75-0943,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,train wreck; derailed railroad cars; 1912; wooded area; black and white photograph,"This black and white photograph documents the Delaware, Lackawanna and Western Railroad trainwreck in Gibson, N.Y. from 1912, showing severely damaged and derailed railroad cars amid dense vegetation and trees."
75-0945,"Erie Railroad, Corning, N.Y. ",,erie railroad station; brick building; pine street; corning ny; historic architecture,"A black and white photograph showing the Erie Station and Pine Street looking north in Corning, New York, featuring a substantial brick railroad station building with multiple chimneys and a distinctive roofline, with adjacent commercial structures visible to the right."
75-0948,Corning Free Academy,1913,,
75-0948,Football,1913,,
75-0949,Baseball,1923,women's baseball team; corning free academy; 1923; sailor uniforms; black and white photograph,"A formal team portrait of the Corning Free Academy (CFA) women's baseball team from 1923, showing eight young women in sailor-style uniforms arranged in three rows against a dark studio backdrop, with ""CFA '23"" visible on one player's uniform."
75-0949,Corning Free Academy,1923,women's baseball team; corning free academy; 1923; sailor uniforms; black and white photograph,"A formal team portrait of the Corning Free Academy (CFA) women's baseball team from 1923, showing eight young women in sailor-style uniforms arranged in three rows against a dark studio backdrop, with ""CFA '23"" visible on one player's uniform."
75-0950,Baseball,,basketball team; corning free academy; vintage uniforms; gymnasium; black and white photograph; 1940s-1950s,"A black and white photograph of the Corning Free Academy basketball team posing in their uniforms numbered 26, 42, 60, 20, 62, and 24, with a coach and additional team members, taken in a gymnasium with ""Infantry"" and ""Air Corps"" signs visible on the brick wall behind them."
75-0950,Corning Free Academy,,basketball team; corning free academy; vintage uniforms; gymnasium; black and white photograph; 1940s-1950s,"A black and white photograph of the Corning Free Academy basketball team posing in their uniforms numbered 26, 42, 60, 20, 62, and 24, with a coach and additional team members, taken in a gymnasium with ""Infantry"" and ""Air Corps"" signs visible on the brick wall behind them."
75-0951,Isabel Walker Drake Family Photo,c.1900,,
75-0952,Isabel Walker Drake Family Photo,c.1900,,
75-0953,Isabel Walker Drake Family Photo,c.1900,bear; man; rope; early 1900s; black and white photograph,"A man in period clothing holds a rope attached to a large bear standing on its hind legs in an open field with utility poles visible in the background, circa 1900."
75-0954,Isabel Walker Drake Family Photo,c.1900,,
75-0955,Isabel Walker Drake Family Photo,c.1900,steamship; water; early 1900s; black and white photograph; waterfront,"A black and white photograph from circa 1900 showing a steamship on water, likely taken from a shoreline or dock in the Corning, NY area, associated with the Isabel Walker Drake Family collection."
75-0956,Isabel Walker Drake Family Photo,c.1900,family portrait; indoor scene; early 1900s; black and white photograph; domestic interior,"A black and white photograph from circa 1900 showing members of the Isabel Walker Drake family in an interior domestic setting, with figures positioned around furniture and wallpapered walls visible in the background."
75-0957,Isabel Walker Drake Family Photo,c.1900,family portrait; riverside landscape; early 1900s; child figure; rural settlement,"A circa 1900 photograph from the Isabel Walker Drake Family collection showing a child standing on a rocky riverbank with logs and water visible, with a hillside settlement and forested landscape in the background."
75-0958,Isabel Walker Drake Family Photo,c.1900,family portrait; park setting; early 1900s; bare trees; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family seated in a park with bare trees, showing three figures in period clothing on a bench, with handwritten archive notation ""Dec 1 1"" visible in the upper right corner."
75-0959,Isabel Walker Drake Family Photo,c.1900,portrait; woman; stone building; early 1900s; black and white photograph,"A portrait of a woman from the Isabel Walker Drake Family, circa 1900, standing in front of a stone building wearing a dark dress, white collar, and wide-brimmed hat."
75-0960,Isabel Walker Drake Family Photo,c.1900,family gathering; early 1900s; outdoor scene; formal dress; circular photograph,"A circular black and white photograph from circa 1900 showing the Isabel Walker Drake family gathered outdoors under a decorative awning or canopy, with adults in formal attire and children present in what appears to be a social gathering or family event."
75-0961,Isabel Walker Drake Family Photo,c.1900,three women; early 1900s clothing; winter scene; black and white photograph; outdoor portrait,"A black and white photograph from circa 1900 showing three women wearing long dark coats and hats standing outdoors in a snowy winter landscape with bare trees and buildings visible in the background, identified as members of the Isabel Walker Drake family."
75-0962,Isabel Walker Drake Family Photo,c.1900,family portrait; early 1900s; residential setting; bare trees; black and white photograph,A black and white photograph from circa 1900 showing members of the Isabel Walker Drake family standing in front of a house with bare trees and wooden structures visible in the residential yard.
75-0963,Isabel Walker Drake Family Photo,c.1900,horse-drawn wagon; family portrait; turn-of-century; outdoor garden setting; black and white photograph,"A turn-of-the-century photograph showing the Isabel Walker Drake family posed on a horse-drawn wagon in a lush garden setting surrounded by dense foliage and trees, with a white picket fence visible in the foreground."
75-0964,Isabel Walker Drake Family Photo,c.1900,,
75-0965,Isabel Walker Drake Family Photo,c.1900,horse-drawn carriage; turn-of-the-century; family photograph; rural property; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family showing two harnessed horses with a carriage on a tree-lined property, with buildings visible in the background."
75-0966,Isabel Walker Drake Family Photo,c.1900,family portrait; early 1900s; outdoor scene; bare trees; black and white photograph,"A black and white photograph from circa 1900 showing two people in period clothing standing outdoors near a utility pole with bare trees in the background, identified as the Isabel Walker Drake Family Photo from the Corning, NY local history archive."
75-0967,Isabel Walker Drake Family Photo,c.1900,,
75-0968,Isabel Walker Drake Family Photo,c.1900,family photograph; indoor scene; early 1900s; chalkboard; framed pictures on wall,"A bearded man in dark formal attire stands beside a young girl in a white dress who is writing or drawing on a chalkboard, with framed pictures visible on the wall behind them in this circa 1900 photograph of the Isabel Walker Drake family."
75-0969,Isabel Walker Drake Family Photo,c.1900,horse-drawn carriage; family portrait; early 1900s; downtown street; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family posing with a horse-drawn carriage on a downtown street in Corning, NY, with multi-story commercial buildings visible in the background."
75-0970,Isabel Walker Drake Family Photo,c.1900,victorian mansion; horse-drawn carriage; early 1900s; black and white photograph; rural landscape,"A circa 1900 photograph showing two views of the Isabel Walker Drake family property in Corning, NY, featuring a prominent Victorian mansion with distinctive turrets, horse-drawn carriages, fenced grounds, and surrounding rural landscape with hills in the background."
75-0971,Isabel Walker Drake Family Photo,c.1900,family photograph; early 1900s; handwritten captions; domestic scenes; black and white,"A circa 1900 photograph from the Isabel Walker Drake Family collection showing two circular vignette images with handwritten labels—the left image labeled ""Cosing"" depicts a person near a building entrance, and the right image labeled ""Palmyra Thurs June"" shows figures in a garden setting."
75-0972,Isabel Walker Drake Family Photo,c.1900,family group; white dresses; early 1900s fashion; outdoor portrait; black and white photograph,"A black and white photograph from circa 1900 showing the Isabel Walker Drake family gathered outdoors in white Edwardian-era dresses and hats, posed in front of evergreen trees."
75-0973,Isabel Walker Drake Family Photo,c.1900,family gathering; turn-of-century; outdoor scene; horse-drawn carriage; trees,"A circa 1900 photograph from the Isabel Walker Drake Family collection showing multiple people gathered outdoors beneath large trees with a horse-drawn carriage visible in the foreground, documenting a family outing or social gathering from the Corning, NY area."
75-0974,Isabel Walker Drake Family Photo,c.1900,family portrait; turn-of-century clothing; brick building; urban street; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family showing two people in period dress standing on a brick-lined urban street in Corning, NY, with a storefront visible in the background."
75-0975,Isabel Walker Drake Family Photo,c.1900,,
75-0976,Isabel Walker Drake Family Photo,c.1900,winter landscape; snow; woman; early 1900s; black and white photograph,"A woman in a dark coat stands in a snowy landscape with a small town and forested hills visible in the background, circa 1900, identified as part of the Isabel Walker Drake Family Photo collection from Corning, NY."
75-0977,Isabel Walker Drake Family Photo,c.1900,family gathering; outdoor recreation; waterfront; early 1900s; black and white photograph,"A circa 1900 photograph showing members of the Isabel Walker Drake family gathered on a beach or sandy area near a body of water with forested shoreline in the background, captured through a circular vignette lens."
75-0978,Corning Glass Center Buildings,1906,corning glass works; industrial factory; multiple smokestacks; brick buildings; black and white photograph,"This 1906 photograph shows the Corning Glass Works facility in Corning, New York, featuring multiple tall industrial smokestacks rising from brick factory buildings with numerous windows, surrounded by smaller structures and utility poles in the foreground."
75-0979,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,train wreck; derailed locomotive; 1912; black and white photograph; wooded area,"A severely damaged Delaware, Lackawanna and Western Railroad locomotive lies derailed and overturned in a wooded area near Gibson, N.Y., with onlookers examining the wreckage in this 1912 photograph."
75-0981,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,,
75-0982,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,railroad wreck; train derailment; 1912; crowd of onlookers; black and white photograph,"This black and white photograph documents the Delaware, Lackawanna and Western Railroad trainwreck near Gibson, N.Y. in 1912, showing a derailed passenger car surrounded by debris and a large crowd of spectators gathered at the accident scene."
75-0994,Mr. & Mrs. Buck,,,
75-0995,Duraid Home,,,
75-0997,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,,
75-1000,Barn-Raising,,,
75-1006,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,railroad wreck; derailed train cars; 1912; wooded area; black and white photograph,"This photograph documents the 1912 Delaware, Lackawanna and Western Railroad trainwreck near Gibson, N.Y., showing severely damaged and derailed passenger cars twisted among debris in a forested setting."
75-1007,Christmas Scene,,,
75-1008,Crystal City Corps,,,
75-1009,Electric Company,1911,,
75-1010,Electric Company,1911,,
75-1011,Judson Badgley,1911,electric company workers; horse-drawn equipment; early 1900s infrastructure; corning ny; black and white photograph,"A 1911 black and white photograph showing Judson Badgley and Electric Company workers with horses and equipment on a tree-lined street in Corning, NY, documenting early electrical infrastructure installation or maintenance work."
75-1011,Electric Company,1911,electric company workers; horse-drawn equipment; early 1900s infrastructure; corning ny; black and white photograph,"A 1911 black and white photograph showing Judson Badgley and Electric Company workers with horses and equipment on a tree-lined street in Corning, NY, documenting early electrical infrastructure installation or maintenance work."
75-1013,Beegan Store,,,
75-1016,Baseball,1914,,
75-1016,Corning Free Academy,1914,,
75-1020,"Camp Brough, Virginia",1863,military camp; canvas tents; civil war era; bare trees; winter encampment,"This 1863 photograph shows Camp Brough in Virginia with multiple canvas military tents arranged in rows among bare winter trees, depicting a Civil War era military encampment."
75-1021,Construction,,construction site; wooden framework; workers; quarry or excavation; black and white photograph,"This black and white photograph shows a construction or quarry site in Corning, NY with multiple workers engaged in building activities, featuring wooden structural framing in the foreground, a small wooden building on an earthen slope, and various construction equipment and materials scattered throughout the work area."
75-1022,Construction,,construction work; brick masonry; underground excavation; black and white photograph; mid-20th century,"A black and white photograph showing a construction worker in an underground brick-lined excavation or basement area with wooden support beams and materials stored on shelves above, documenting construction or renovation work in Corning, NY."
75-1023,Construction,,construction site; steel beams; workers; industrial; black and white photograph,"A black and white photograph showing construction workers beneath large steel beams and structural elements at an industrial construction site, with riveted metal framework visible overhead and debris scattered on the ground."
75-1024,Construction,,excavation; stone walls; construction site; underground; sepia photograph,"This sepia-toned photograph shows an underground excavation or construction site with deep stone-lined walls and wooden support beams visible at the top, likely documenting foundation or utility work in Corning, NY."
75-1025,Construction,,construction site; reinforced concrete; workers; mid-20th century; black and white photograph,"A black and white photograph showing a construction site with workers laying reinforced concrete foundation or floor, with various construction equipment, machinery, and materials visible in the background against a forested landscape."
75-1027,"Caton, N.Y.",,,
75-1028,"Caton, N.Y.",,cemetery; church; bare trees; rural landscape; black and white photograph,"A winter or early spring scene of a cemetery in Caton, N.Y., featuring a white church with a steeple on the right, bare deciduous trees, gravestones and monuments, and evergreen trees in the background, with several figures visible among the graves."
75-1029,"Caton, N.Y.",,church exterior; group portrait; early 20th century; gothic window; formal gathering,"A large group of formally dressed men, women, and children pose in front of a white wooden church building with a distinctive pointed arch window in Caton, N.Y., in this black and white photograph from the early 1900s."
75-1030,"Caton, N.Y.",1967,aerial view; rural farmstead; agricultural buildings; 1967; black and white photograph,"An aerial photograph from 1967 showing a rural farmstead in Caton, N.Y., with multiple farm buildings including barns and houses arranged around a curved driveway, surrounded by fields and evergreen trees."
75-1032,Corning Glass Center Buildings,,,
75-1032,"Erie Railroad, Corning, N.Y. ",,,
75-1033,"Bridge Street, Corning, N.Y. (Duplicate photo to photo 75-1561)",,,
75-1034,"Fire Department, Corning, N.Y. ",,fire department; early automobile; vintage fire truck; corning new york; black and white photograph,"This black and white photograph shows two early fire department vehicles parked outside a brick fire station building in Corning, NY, with the front vehicle displaying the number ""2"" and featuring prominent headlights and mechanical equipment typical of early 20th-century fire apparatus."
75-1035,Corning Free Academy,1907,group portrait; women; early 1900s; indoor; black and white photograph,"A black and white photograph from 1907 showing a group of approximately thirteen women posed together indoors against a curtained backdrop, likely a class or organization photo from Corning Free Academy."
75-1036,Erie Avenue,,,
75-1037,Corning Free Academy,1916,formal group portrait; early 20th century fashion; wedding party; black and white photograph; studio portrait,"A formal 1916 black and white studio photograph of a wedding party from Corning Free Academy, showing approximately 25 people arranged in three rows, with the bride in a white gown and veil in the center-left, the groom in a dark suit seated in the front, and wedding guests in formal attire holding bouquets."
75-1039,Baseball,1909,baseball field; 1909; early 20th century; grainy photograph; rural landscape,"A black and white photograph from 1909 showing a baseball game in progress on a field with hills and trees visible in the background, capturing an early 1900s sporting scene in what appears to be the Corning, NY area."
75-1041,French's Saw Mill,,,
75-1045,Crooker Farm,1975,fallen logs; forest; woodland debris; black and white photograph; rural landscape,"A black and white photograph showing a wooded area at the Crooker Farm in Corning, NY with fallen logs scattered among trees and undergrowth, documenting the forest floor conditions in 1975."
75-1046,Crooker Farm,1975,wooden fence; forest; rural landscape; black and white photograph; 1975,"A black and white photograph from 1975 showing a wooden rail fence in a wooded area on the Crooker Farm in Corning, NY, with tall trees and leafy branches visible in the background."
75-1047,Crooker Farm,1975,stone wall; evergreen trees; rural landscape; black and white photograph; 1975,"A black and white photograph from 1975 showing a stacked stone wall at the Crooker Farm in Corning, NY, with evergreen trees and overgrown vegetation in the background."
75-1049,Automobiles,1913,early automobile; 1913; women passengers; formal attire; black and white photograph,"A black and white photograph from 1913 showing two women in formal dark clothing and hats seated in an open-air automobile decorated with American flags in Caton, New York."
75-1049,"Caton, N.Y.",1913,early automobile; 1913; women passengers; formal attire; black and white photograph,"A black and white photograph from 1913 showing two women in formal dark clothing and hats seated in an open-air automobile decorated with American flags in Caton, New York."
75-1055,"Caton, N.Y.",1930s,agricultural labor; hay threshing; rural barn; 1930s farm work; black and white photograph,"A 1930s photograph documenting agricultural workers engaged in hay threshing operations near a rural barn in Caton, New York, with multiple laborers positioned around hay bundles and farm equipment including a wagon wheel visible in the foreground."
75-1056,"Caton, N.Y.",1930s,work crew; overalls; 1930s; rural building; black and white photograph,"A group of men in work clothes and hats pose outside a simple wooden structure in Caton, N.Y. during the 1930s, likely documenting a labor or construction crew."
75-1057,Automobiles,1920's,1920s automobiles; rural setting; vintage vehicles; black and white photograph; caton ny,"A black and white photograph from the 1920s showing a vintage automobile with license plate 4972 parked in front of a rural house with a pitched roof in Caton, New York."
75-1057,"Caton, N.Y.",1920s,1920s automobiles; rural setting; vintage vehicles; black and white photograph; caton ny,"A black and white photograph from the 1920s showing a vintage automobile with license plate 4972 parked in front of a rural house with a pitched roof in Caton, New York."
75-1058,Elcor Dairy,c. 1930s,,
75-1059,"Caton, N.Y.",1920s,horse-drawn wagon; rural agriculture; 1920s; farming; black and white photograph,"A man in a hat operates a horse-drawn wagon with agricultural equipment in a rural field near Caton, N.Y., with forested hills visible in the background during the 1920s."
75-1060,"Caton, N.Y.",1920s,1920s automobile; men in suits; rural setting; black and white photograph; vintage vehicle,"A black and white photograph from the 1920s showing three men in suits and hats standing beside a period automobile in Caton, N.Y., with bare trees visible in the background."
75-1062,"Caton, N.Y.",1920s,horse-drawn wagon; rural road; 1920s; agricultural transport; black and white photograph,"A black and white photograph from the 1920s showing a horse-drawn wagon loaded with hay on a rural road in Caton, N.Y., with trees and open countryside visible in the background."
75-1064,"Caton, N.Y.",1940s,group portrait; wooden building; 1940s; caton ny; formal gathering,"A large formal group photograph from the 1940s showing approximately 50 people of various ages posed in front of a wooden-sided building with two chimneys in Caton, New York, with men in suits and women in period dresses arranged in multiple rows."
75-1065,Isabel Walker Drake Family Photo,1896,winter scene; snow; three women; period clothing; 1890s photograph,"A black and white photograph from 1896 showing three women of the Isabel Walker Drake family standing together on a snowy wooden boardwalk or bridge, wearing late Victorian-era clothing including long coats and hats typical of the period."
75-1066,Isabel Walker Drake Family Photo,1891,winter scene; woman in dark coat; snowy landscape; 1891; sepia photograph,"A woman from the Isabel Walker Drake family stands in a snowy winter landscape wearing a dark coat and hat, with rural buildings visible in the background, photographed in 1891."
75-1067,Isabel Walker Drake Family Photo,c.1900,horses; saddles; equestrian; early 1900s; sepia photograph,"A sepia-toned photograph from circa 1900 showing three saddled horses standing in an open field, likely documenting the Isabel Walker Drake family's equestrian activities in the Corning, New York area."
75-1068,"Caton, N.Y.",1903 & 1928,hay wagon; horse-drawn cart; barn; rural agriculture; black and white photograph; caton ny; early 1900s,"A composite archival photograph showing two images from Caton, N.Y. - the top image dated 1928 depicts workers loading hay onto a horse-drawn wagon, while the bottom image dated 1903 shows a large wooden barn structure, both documenting rural agricultural practices in early 20th-century upstate New York."
75-1069,"Caton, N.Y.",,rural road; rocky outcrop; dirt road; person standing; black and white photograph,"A black and white photograph showing a dirt road in Caton, N.Y. with a person standing on the right side and a large rocky cliff or quarry face visible on the left side of the road."
75-1070,Amil Bonsoph,,black and white photograph; group of men; outdoor construction or work site; mid-20th century; rural setting,"A black and white photograph showing a group of men at an outdoor work site, with one man in the foreground crouching and holding what appears to be a surveying or construction tool, while five other men stand in the background observing, likely from the mid-20th century in a rural area near Corning, NY."
75-1072,Floods,1937,flood damage; debris field; 1937 flood; corning ny; black and white photograph,"This black and white photograph documents flood damage at Jamney Creek in Corning, NY, showing extensive debris and wreckage scattered across the landscape following the 1937 flood, with handwritten captions identifying the location and date."
75-1073,"Caton, N.Y.",,horse-drawn wagon; rural landscape; hay wagon; black and white photograph; early 20th century,"A black and white photograph showing a horse-drawn hay wagon loaded with hay in a rural field near Caton, N.Y., with horses and farm equipment visible against an open landscape."
75-1074,Automobiles,,,
75-1074,"Caton, N.Y.",,,
75-1075,"Caton, N.Y.",1942,,
75-1076,"Caton, N.Y.",,,
75-1077,"Elm Street, South Corning, N.Y. ",,flood damage; debris field; residential building; black and white photograph; disaster aftermath,"A black and white photograph showing a house on Elm Street in South Corning, NY surrounded by extensive flood debris and rubble, with trees visible in the background, documenting the aftermath of a major flooding event."
75-1081,Corning Homes,,victorian house; patriotic bunting; black and white photograph; historic home; ivy-covered facade,"A Victorian-era residential home in Corning, NY decorated with patriotic bunting and draped flags, featuring distinctive architectural details including a turret, multiple gables, and ivy-covered walls."
75-1082,Lydia E. Ensworth,,portrait photograph; two men; formal attire; nineteenth century; black and white photograph,"A formal black and white portrait photograph of two men in nineteenth-century dress, with the man on the left wearing a bow tie and jacket, and the man on the right wearing a dark coat with decorative brooch, from the Corning, NY local history archive."
75-1083,Baseball,1911,,
75-1083,"Caton, N.Y.",1911,,
75-1083,Hiram Coles,1911,,
75-1083,Roscoe Cram,1911,,
75-1084,Baseball,1911,baseball team; caton ny; early 1900s; group portrait; black and white photograph,"A 1911 baseball team photograph from Caton, New York showing nine men in period clothing posed outdoors, with two seated players in baseball uniforms in the front and seven standing men in suits and hats behind them, likely including players Hiram Coles and Roscoe Cram."
75-1084,"Caton, N.Y.",1911,baseball team; caton ny; early 1900s; group portrait; black and white photograph,"A 1911 baseball team photograph from Caton, New York showing nine men in period clothing posed outdoors, with two seated players in baseball uniforms in the front and seven standing men in suits and hats behind them, likely including players Hiram Coles and Roscoe Cram."
75-1084,Hiram Coles,1911,baseball team; caton ny; early 1900s; group portrait; black and white photograph,"A 1911 baseball team photograph from Caton, New York showing nine men in period clothing posed outdoors, with two seated players in baseball uniforms in the front and seven standing men in suits and hats behind them, likely including players Hiram Coles and Roscoe Cram."
75-1084,Roscoe Cram,1911,baseball team; caton ny; early 1900s; group portrait; black and white photograph,"A 1911 baseball team photograph from Caton, New York showing nine men in period clothing posed outdoors, with two seated players in baseball uniforms in the front and seven standing men in suits and hats behind them, likely including players Hiram Coles and Roscoe Cram."
75-1085,Baseball,1911,black and white photograph; bears; wildlife; caton new york; 1911,"A black and white photograph from 1911 showing a mother bear and cubs in Caton, N.Y., with text visible at the bottom reading ""BEAR KIDS IN CATON N.Y. 1911."""
75-1085,"Caton, N.Y.",1911,black and white photograph; bears; wildlife; caton new york; 1911,"A black and white photograph from 1911 showing a mother bear and cubs in Caton, N.Y., with text visible at the bottom reading ""BEAR KIDS IN CATON N.Y. 1911."""
75-1086,"Carlton Hotel, Corning, N.Y.",,carlton hotel; corning ny; historic building; black and white photograph; early 20th century,"A black and white photograph showing the Carlton Hotel in Corning, New York, a distinctive Tudor-style building with characteristic half-timbered gables, surrounded by pedestrians and adjacent industrial or commercial structures with prominent chimneys."
75-1087,"Charles Street, Painted Post, N.Y. ",,,
75-1089,Corning Free Academy,,corning free academy; historic building; clock tower; victorian architecture; black and white photograph,"This black and white photograph shows the Corning Free Academy building in Corning, New York, a Victorian-era structure featuring distinctive architectural elements including multiple cupolas, a prominent clock tower, and ornate detailing, photographed during late fall or winter with bare trees visible in the foreground."
75-1090,Corning Free Academy,,corning free academy; group portrait; indoor event; mid-20th century; black and white photograph,"A black and white photograph showing a group of adults and children posed together indoors at what appears to be a Corning Free Academy event, with framed artwork and educational displays visible on the walls behind them."
75-1091,Dickinson House,,market street; dickinson house; corning new york; early 20th century; black and white photograph; historic downtown; streetcar; brick building,"A black and white photograph labeled ""Market Street, Showing Dickinson House, Corning, N.Y."" depicts a prominent four-story brick building with regular window patterns on Market Street, with a streetcar and pedestrians visible in the foreground and adjacent commercial buildings along the street."
75-1092,Corning Leader Building,,corning leader building; brick building; early 20th century architecture; downtown corning; black and white photograph,"The Evening Leader Building in Corning, New York, a three-story brick structure with classical architectural details, large multi-pane windows, and prominent signage reading ""EVENING LEADER"" and ""CORNING PRESS"" on its corner facade."
75-1093,Country Club,,country club; neoclassical architecture; columned building; rural landscape; black and white photograph,"A neoclassical white building with prominent columns and a triangular pediment, identified as the Country Club in Corning, N.Y., ""The Crystal City,"" sits in a landscaped setting with a curved driveway and forested hills in the background."
75-1094,Country Club,,country club; neoclassical architecture; columned building; landscaped grounds; black and white photograph,"A neoclassical-style country club building with prominent white columns, a triangular pediment, and manicured landscaping with white stones lining the grounds, photographed in black and white with forested hills visible in the background."
75-1095,Corning Glass Center Buildings,,corning glass works; industrial complex; factory buildings; black and white photograph; mid-20th century,"A black and white photograph showing the Corning Glass Works industrial complex with multiple factory buildings, tall smokestacks, and manufacturing facilities set against a hillside backdrop in Corning, NY."
75-1096,Corning Glass Center Buildings,,corning glass works; industrial factory; railroad tracks; black and white photograph; early 20th century,"This black and white photograph shows the Corning Glass Works facility in Corning, New York, featuring a large multi-story industrial building with numerous smokestacks, railroad tracks in the foreground, and surrounding factory structures, as identified by the visible caption ""Corning Glass Works, largest in the Country, Corning, N.Y."""
75-1098,"Denison Park, Corning, N.Y. ",,denison park; pagoda; park pathway; landscaped grounds; black and white photograph,"A black and white photograph of Denison Park in Corning, NY, showing a curved pathway leading toward a distinctive pagoda-style structure with an umbrella roof on the right, surrounded by manicured landscaping and trees."
75-1099,"Denison Park, Corning, N.Y. ",,denison park; corning new york; gazebo; historic park; black and white photograph,"This black and white photograph shows Denison Park in Corning, N.Y., featuring multiple gazebos and pavilions scattered throughout manicured grounds with trees, pathways, and a tower structure visible in the distance."
75-1101,Corning Glass Center Buildings,,corning glass works; industrial buildings; smokestacks; american flag; black and white photograph,"A black and white photograph showing the Corning Glass Works industrial complex with distinctive tall smokestacks, brick factory buildings, and an American flag prominently displayed in the foreground, representing early 20th-century industrial Corning, New York."
75-1105,"Denison Park, Corning, N.Y. ",,denison park; corning new york; black and white photograph; mid-20th century; street view,"A black and white photograph of Denison Park in Corning, NY showing a street view with an ""Ellis Estate"" storefront on the left, mature trees, period buildings, and vintage automobiles typical of the mid-20th century."
75-1106,"Northside, Corning, New York",,,
75-1114,"Centerway Bridge, Corning, N.Y. ",1972,centerway bridge; flooded river; corning new york; 1972 flood; black and white photograph,"This black and white photograph shows the Centerway Bridge in Corning, New York during the 1972 flood, with the river significantly swollen and overflowing beneath the multi-arch stone bridge structure."
75-1114,Floods,1972,centerway bridge; flooded river; corning new york; 1972 flood; black and white photograph,"This black and white photograph shows the Centerway Bridge in Corning, New York during the 1972 flood, with the river significantly swollen and overflowing beneath the multi-arch stone bridge structure."
75-1115,Corning Glass Works Floods,1972,flooded interior; chain-link fencing; industrial facility; mud and water damage; black and white photograph,"This black and white photograph documents flood damage inside what appears to be an industrial facility, showing mud-covered floors, chain-link fencing, metal gates, and various equipment partially submerged or covered in sediment from the 1972 Corning, NY flood."
75-1115,Floods,1972,flooded interior; chain-link fencing; industrial facility; mud and water damage; black and white photograph,"This black and white photograph documents flood damage inside what appears to be an industrial facility, showing mud-covered floors, chain-link fencing, metal gates, and various equipment partially submerged or covered in sediment from the 1972 Corning, NY flood."
75-1116,Corning Glass Works Floods,1972,flood damage; industrial facility; debris; water damage; black and white photograph,"This black and white photograph documents severe flood damage at the Corning Glass Works facility in 1972, showing destroyed equipment, scattered debris, and standing water throughout the industrial plant with damaged structures and machinery visible in the background."
75-1116,Floods,1972,flood damage; industrial facility; debris; water damage; black and white photograph,"This black and white photograph documents severe flood damage at the Corning Glass Works facility in 1972, showing destroyed equipment, scattered debris, and standing water throughout the industrial plant with damaged structures and machinery visible in the background."
75-1117,Corning Glass Works Floods,1972,flood damage; corning glass works; debris cleanup; industrial facility; black and white photograph,"This 1972 photograph shows the aftermath of flooding at the Corning Glass Works facility, with workers clearing mud and debris from the grounds in front of a large industrial building with distinctive architectural features."
75-1117,Floods,1972,flood damage; corning glass works; debris cleanup; industrial facility; black and white photograph,"This 1972 photograph shows the aftermath of flooding at the Corning Glass Works facility, with workers clearing mud and debris from the grounds in front of a large industrial building with distinctive architectural features."
75-1118,Floods,1972,aerial view; flooded landscape; 1972 flood; submerged buildings; black and white photograph,"An aerial black and white photograph showing extensive flooding in what appears to be a rural or semi-rural area near Corning, NY in 1972, with submerged buildings, trees, utility poles, and a vehicle visible amid the floodwaters."
75-1119,Floods,,flooded factory interior; industrial machinery; water damage; black and white photograph; mid-20th century,"A black and white photograph showing the interior of an industrial factory or manufacturing facility in Corning, NY completely flooded with water, with various machinery, electrical equipment, and overhead wiring visible throughout the damaged space."
75-1120,Corning Glass Works Floods,1972,flood damage; industrial facility; debris; corning glass works; black and white photograph,"This black and white photograph documents the interior of the Corning Glass Works facility following the 1972 flood, showing extensive debris, damaged machinery, twisted metal, and scattered equipment throughout the factory floor."
75-1120,Floods,1972,flood damage; industrial facility; debris; corning glass works; black and white photograph,"This black and white photograph documents the interior of the Corning Glass Works facility following the 1972 flood, showing extensive debris, damaged machinery, twisted metal, and scattered equipment throughout the factory floor."
75-1121,Bonady's Market,1972,bonady's produce market; flood damage; corning ny; black and white photograph; 1972 flood,"This black and white photograph shows Bonady's Produce Market in Corning, NY after the 1972 flood, with visible signage reading ""Fruits and Vegetables"" and ""Bonady's Produce Market Wholesale and Retail,"" displaying severe structural damage to the building's exterior and foundation."
75-1121,Floods,1972,bonady's produce market; flood damage; corning ny; black and white photograph; 1972 flood,"This black and white photograph shows Bonady's Produce Market in Corning, NY after the 1972 flood, with visible signage reading ""Fruits and Vegetables"" and ""Bonady's Produce Market Wholesale and Retail,"" displaying severe structural damage to the building's exterior and foundation."
